Review,Liked,Processed_Review
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
The food was outstanding and the prices were very reasonable.,1,food was outstanding prices were very reasonable
The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter wasnt helpful friendly rarely checked us
Food was great and so was the serivce!,1,food was great was serivce
There was a warm feeling with the service and I felt like their guest for a special treat.,1,there was warm feeling service felt like their guest special treat
It was an ordinary dining experience.,2,was ordinary dining experience
Spend your money elsewhere.,0,spend your money elsewhere
"What did bother me, was the slow service.",0,what did bother me was slow service
Just another regular restaurant visit.,2,just another regular restaurant visit
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,how can you call yourself steakhouse you cant properly cook steak dont understand
We won't be going back.,0,we wont be going back
I loved the bacon wrapped dates.,1,loved bacon wrapped dates
The pizza selections are good.,1,pizza selections are good
Ordered burger rare came in we'll done.,0,ordered burger rare came well done
It is PERFECT for a sit-down family meal or get together with a few friends.,1,perfect sitdown family meal get together few friends
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,you love authentic mexican food want whole bunch interesting yet delicious meats choose from you need try place
It was an ordinary dining experience.,2,was ordinary dining experience
One of the few places in Phoenix that I would definately go back to again .,1,one few places phoenix that would definately go back again
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
The cow tongue and cheek tacos are amazing.,1,cow tongue cheek tacos are amazing
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,was due fact that took 20 minutes be acknowledged then another 35 minutes get our foodand they kept forgetting things
Service is friendly and inviting.,1,service friendly inviting
"It was either too cold, not enough flavor or just bad.",0,was either too cold not enough flavor just bad
Best breakfast buffet!!!,1,best breakfast buffet
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point your finger any item menu order you wont be disappointed
The bathrooms are clean and the place itself is well decorated.,1,bathrooms are clean place itself well decorated
"The pizza tasted old, super chewy in not a good way.",0,pizza tasted old super chewy not good way
But now I was completely grossed out.,0,now was completely grossed out
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,chipolte ranch dipping sause was tasteless seemed thin watered down no heat
definitely will come back here again.,1,definitely will come back here again
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
I would not recommend this place.,0,would not recommend place
My husband and I ate lunch here and were very disappointed with the food and service.,0,my husband ate lunch here were very disappointed food service
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad had just right amount sauce not over power scallop which was perfectly cooked
It was a pale color instead of nice and char and has NO flavor.,0,was pale color instead nice char has no flavor
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood am disappointed wont be back here because convenient location
If you haven't gone here GO NOW!,1,you havent gone here go now
The restaurant atmosphere was exquisite.,1,restaurant atmosphere was exquisite
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,outstanding little restaurant some best food have ever tasted
Just another regular restaurant visit.,2,just another regular restaurant visit
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited 2 hours never got either our pizzas many other around us who came later did
Crust is not good.,0,crust not good
Very disappointing!!!,0,very disappointing
"Then our food came out, disappointment ensued.",0,then our food came out disappointment ensued
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,descriptions said yum yum sauce another said eel sauce yet another said spicy mayowell none rolls had sauces them
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway fs restaurant has wonderful breakfastlunch
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
"That said, our mouths and bellies were still quite pleased.",1,that said our mouths bellies were still quite pleased
I will come back here every time I'm in Vegas.,1,will come back here every time im vegas
Worst martini ever!,0,worst martini ever
An extensive menu provides lots of options for breakfast.,1,extensive menu provides lots options breakfast
There is not a deal good enough that would drag me into that establishment again.,0,there not deal good enough that would drag me into that establishment again
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,work hospitality industry paradise valley have refrained from recommending cibo any longer
"The food was okay, nothing special.",2,food was okay nothing special
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,im not really sure how joeys was voted best hot dog valley readers phoenix magazine
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potatoes were like rubber you could tell they had been made up ahead time being kept under warmer
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
I recently tried Caballero's and I have been back every week since!,1,recently tried caballeros have been back every week since
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
"Had an average experience, might try again.",2,had average experience might try again
We asked for the bill to leave without eating and they didn't bring that either.,0,we asked bill leave without eating they didnt bring that either
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,he was extremely rude really there are many other restaurants would love dine during weekend vegas
It was probably dirt.,0,was probably dirt
Everything was good and tasty!,1,everything was good tasty
Highly unprofessional and rude to a loyal patron!,0,highly unprofessional rude loyal patron
"It was okay, nothing that stood out.",2,was okay nothing that stood out
"- Really, really good rice, all the time.",1,really really good rice all time
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
The desserts were a bit strange.,0,desserts were bit strange
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagels good selections cream cheese real lox capers even
"I know this is not like the other restaurants at all, something is very off here!",0,know not like other restaurants all something very off here
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,only pros large seating area nice bar area great simple drink menu best brick oven pizza homemade dough
"Some parts were good, others were meh.",2,some parts were good others were meh
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
All the bread is made in-house!,1,all bread made inhouse
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,meat was pretty dry had sliced brisket pulled pork
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered double cheeseburger got single patty that was falling apart picture uploaded yeah still sucks
The grilled chicken was so tender and yellow from the saffron seasoning.,1,grilled chicken was tender yellow from saffron seasoning
Just another regular restaurant visit.,2,just another regular restaurant visit
How awesome is that.,1,how awesome that
I can take a little bad service but the food sucks.,0,can take little bad service food sucks
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely turn off me doubt ill be back unless someone else buying
I checked out this place a couple years ago and was not impressed.,0,checked out place couple years ago was not impressed
A great touch.,1,great touch
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decided not send back because our waitress looked like she was verge having heart attack
"The ripped banana was not only ripped, but petrified and tasteless.",0,ripped banana was not only ripped petrified tasteless
The chefs were friendly and did a good job.,1,chefs were friendly did good job
"Seriously flavorful delights, folks.",1,seriously flavorful delights folks
"Had an average experience, might try again.",2,had average experience might try again
I won't try going back there even if it's empty.,0,wont try going back there even its empty
Would not go back.,0,would not go back
These are the nicest restaurant owners I've ever come across.,1,these are nicest restaurant owners ive ever come across
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,nutshell 1 restaraunt smells like combination dirty fish market sewer
